id,label,numFollowers
@KGrumpallo,@KGrumpallo,522
@JerryHicksUnite,@JerryHicksUnite,12241
@Secondaeg,@Secondaeg,485
@tutor2u,@tutor2u,16660
@ZackeryJones_,@ZackeryJones_,1939
@RegioneER,@RegioneER,131265
@waraujo64,@waraujo64,286358
@pycoa_fr,@pycoa_fr,148
@jbellamar,@jbellamar,731
@khaskhobor2020,@khaskhobor2020,2281
@srfkultur,@srfkultur,22972
@LaPorres,@LaPorres,9357
@DarcyInAlberta,@DarcyInAlberta,57
@ehoedy,@ehoedy,745
@SeeLuluRun,@SeeLuluRun,1441
@AusNewsNetwork,@AusNewsNetwork,8262
@RosellaLara19,@RosellaLara19,8349
@jrushton55,@jrushton55,100
@JournalAlexa,@JournalAlexa,150
@AngryCardio,@AngryCardio,16671
@culturalfatwa,@culturalfatwa,2613
@rpbreakingnews,@rpbreakingnews,811922
@NTUsg,@NTUsg,23760
@radswan1,@radswan1,2249
@SocialEcuador,@SocialEcuador,3212
@GerardDelaney39,@GerardDelaney39,4627
@johncutlefish,@johncutlefish,84714
@EPSUnions,@EPSUnions,7647
@AskKingsley2,@AskKingsley2,81
@maximamir,@maximamir,662
@StressFreeKids,@StressFreeKids,65765
@kiranmartis9,@kiranmartis9,3204
@RealSaltySlim,@RealSaltySlim,16355
@GE_ORCA,@GE_ORCA,2555
@ddnews_jammu,@ddnews_jammu,17910
@VBoyling,@VBoyling,320
@lake_scum,@lake_scum,1262
@covidlatino,@covidlatino,408
@mariofsabines,@mariofsabines,4280
@AnonSamurai4J2,@AnonSamurai4J2,351
@ibgecomunica,@ibgecomunica,183166
@lelstephens,@lelstephens,13904
@GPR109A,@GPR109A,254
@MuskokaRegion,@MuskokaRegion,7711
@zodicojedes_34,@zodicojedes_34,262
@maggiearchibald,@maggiearchibald,1400
@CGSHEquity,@CGSHEquity,3943
@RaquelBlascoR,@RaquelBlascoR,29301
@MartinRose2,@MartinRose2,132
@WBMaldives,@WBMaldives,1151
@alisadoc1,@alisadoc1,4452
@MissKayeSera,@MissKayeSera,2939
@LerntGernDazu,@LerntGernDazu,379
@TraceyInglis1,@TraceyInglis1,288
@IndonesiaBaikId,@IndonesiaBaikId,30423
@yimeld,@yimeld,668
@DonEford,@DonEford,4095
@nikpet1,@nikpet1,8163
@SessionsTlc,@SessionsTlc,2462
@JoanneHorniman,@JoanneHorniman,833
@CameliaDewan,@CameliaDewan,2040
@soundarc2001,@soundarc2001,462
@lynjprendergast,@lynjprendergast,1420
@JohnnyGair007,@JohnnyGair007,464
@Critic_Outsider,@Critic_Outsider,55
@EUPHActs,@EUPHActs,7443
@tribunadonorte,@tribunadonorte,278974
@pawe1ski,@pawe1ski,259
@Punto_deCorte,@Punto_deCorte,39077
@Petite_Loutre_,@Petite_Loutre_,993
@arungupta5253,@arungupta5253,3057
@Greyman1966,@Greyman1966,427
@nesparch,@nesparch,19534
@PresseMondial,@PresseMondial,8561
@CGlonfoni,@CGlonfoni,2051
@JDreport,@JDreport,3544
@ChristinaMB122,@ChristinaMB122,779
@sandipsabharwal,@sandipsabharwal,78756
@KyleA121,@KyleA121,1584
@carrieokier1,@carrieokier1,132
@JostoMaffeo,@JostoMaffeo,16188
@isaacj,@isaacj,16947
@OPSOMSRD,@OPSOMSRD,4493
@NewellChook52,@NewellChook52,605
@nyctruckstop,@nyctruckstop,592
@IremboNorman,@IremboNorman,215
@gobby_guy,@gobby_guy,142
@CarlosdelRio7,@CarlosdelRio7,53891
@RealJohnDennis,@RealJohnDennis,45022
@MatureAmericans,@MatureAmericans,10277
@hwluton,@hwluton,1947
@ClaireJardin1,@ClaireJardin1,35736
@JSchmitzLeipzig,@JSchmitzLeipzig,9408
@guerreroespejo,@guerreroespejo,2394
@ShalomWaymaker1,@ShalomWaymaker1,886
@EspOEA,@EspOEA,2817
@kirstler31,@kirstler31,356
@dixitrajat1,@dixitrajat1,1183
@AlisonGeorge10,@AlisonGeorge10,10122
@dabeard,@dabeard,62567
@RCEMpresident,@RCEMpresident,12761
@Julesa7,@Julesa7,481
@IndiaIcsi,@IndiaIcsi,1196
@ITCnews,@ITCnews,64535
@Elbarstardo,@Elbarstardo,2716
@tonijuniortec,@tonijuniortec,1367
@egregirls,@egregirls,3525
@xiahepublishing,@xiahepublishing,306
@RIGHTZONE,@RIGHTZONE,8142
@latinsouI,@latinsouI,1978
@BairagiRecluse,@BairagiRecluse,30
@fraudalertsuk,@fraudalertsuk,5292
@dt_next,@dt_next,13187
@AMUofficialPRO,@AMUofficialPRO,32141
@RodolfoRos1,@RodolfoRos1,91
@ECMOKaragianni1,@ECMOKaragianni1,30406
@parash_sheikh,@parash_sheikh,5676
@RespirologyAPSR,@RespirologyAPSR,4807
@istvanojeda,@istvanojeda,1772
@LilliaMarcos,@LilliaMarcos,304
@DpkClothing,@DpkClothing,162
@samirsaran,@samirsaran,100312
@gareth0108,@gareth0108,4590
@NRPublicHealth,@NRPublicHealth,12019
@muntzer_thomas,@muntzer_thomas,7310
@AnnDePa,@AnnDePa,834
@AbdulRahimLee3,@AbdulRahimLee3,756
@NathalieBluebe1,@NathalieBluebe1,74
@t_labrujere,@t_labrujere,3135
@ReadForeverYou,@ReadForeverYou,6545
@MIDCUSA,@MIDCUSA,13
@STJOESHAMILTON,@STJOESHAMILTON,11079
@KTElliottMicro,@KTElliottMicro,2446
@ketan72,@ketan72,8108
@ZhangZhulin,@ZhangZhulin,6774
@FriseSally,@FriseSally,8205
@MoreauGabarain,@MoreauGabarain,795
@MimiTexasAngel,@MimiTexasAngel,5507
@6PR,@6PR,34351
@Beachlife747,@Beachlife747,217
@AlexvanNetten,@AlexvanNetten,2662
@Ocean_State211,@Ocean_State211,4188
@mazzoned,@mazzoned,2995
@riffreporter,@riffreporter,16447
@GVAhisenda,@GVAhisenda,5895
@normundsbergs,@normundsbergs,11420
@DurhamHealth,@DurhamHealth,15504
@banthaskull,@banthaskull,794
@JoeThompsonMD,@JoeThompsonMD,2214
@deejay90192,@deejay90192,48571
@FoodMentalist,@FoodMentalist,2783
@DisabilityUK,@DisabilityUK,21807
@se_covid19,@se_covid19,471
@CastlTrAstonDrs,@CastlTrAstonDrs,3993
@swillsm,@swillsm,727
@ravbasil,@ravbasil,806
@HTPunjab,@HTPunjab,90498
@VirtualRaven,@VirtualRaven,1394
@somersetccg,@somersetccg,6935
@dr_nesio,@dr_nesio,8834
@ILO_EASTAFRICA,@ILO_EASTAFRICA,6146
@KatieDoesTruth,@KatieDoesTruth,518
@DaveMarczuk,@DaveMarczuk,99
@PWHS_UBC,@PWHS_UBC,489
@GoHealio,@GoHealio,5679
@PeterWMurphy1,@PeterWMurphy1,14047
@RandomKiwiUS,@RandomKiwiUS,15
@JA_Tinoco_M,@JA_Tinoco_M,2272
@AngelaMSWinCA,@AngelaMSWinCA,501
@GretchenL0703,@GretchenL0703,7578
@Grepnetics,@Grepnetics,2874
@itsmuzza2004,@itsmuzza2004,53145
@andrewpakes_,@andrewpakes_,6813
@PeoplesDailyapp,@PeoplesDailyapp,2901
@kkc_india,@kkc_india,11710
@JoelGuy_,@JoelGuy_,7955
@HilaryWollis,@HilaryWollis,1171
@hladnikp,@hladnikp,1032
@LeighNYC_Laura,@LeighNYC_Laura,7807
@DerDrPappa,@DerDrPappa,14309
@AllifKhanPathan,@AllifKhanPathan,8336
@Lippersnapper,@Lippersnapper,690
@IAmRealSuffi,@IAmRealSuffi,2378
@anwarulmla1,@anwarulmla1,88
@ladoctequis,@ladoctequis,6247
@CovidSafeNZ,@CovidSafeNZ,3976
@VEmerg_ExperUAM,@VEmerg_ExperUAM,171
@cpc_nyc,@cpc_nyc,3152
@GobTlaxcala,@GobTlaxcala,35551
@havayolu101,@havayolu101,7767
@VCSTX,@VCSTX,1320
@jomo14729,@jomo14729,762
@TruthVulgarians,@TruthVulgarians,3936
@StormyHusky,@StormyHusky,6
@marwan_abubaker,@marwan_abubaker,68
@ProperLookout,@ProperLookout,2728
@tvanouvelles,@tvanouvelles,468285
@shovas,@shovas,304
@ReportaDigital,@ReportaDigital,865
@LarryBurkCEHP,@LarryBurkCEHP,1443
@uni_simulation,@uni_simulation,61
@swmacharia,@swmacharia,2324
@jayacoop,@jayacoop,1055
@theage,@theage,938637
@ClaytonUtz,@ClaytonUtz,8070
@hopnotes,@hopnotes,14777
@FightingAnne1,@FightingAnne1,4555
@diane_berwick,@diane_berwick,2249
@CASAforall,@CASAforall,13184
@MgtmMoisan,@MgtmMoisan,823
@tentelegrams,@tentelegrams,2088
@CubaCentral,@CubaCentral,11927
@PublicHealthSE,@PublicHealthSE,323
@PublicHealthSD,@PublicHealthSD,6008
@DemocracyWorker,@DemocracyWorker,3314
@Asomega,@Asomega,1419
@yone_maca,@yone_maca,3740
@walidgellad,@walidgellad,19836
@wylie_alan,@wylie_alan,6405
@FrancisTheSailr,@FrancisTheSailr,3244
@iamhjsmalonte23,@iamhjsmalonte23,362
@Kristy91808800,@Kristy91808800,807
@NatRevImmunol,@NatRevImmunol,55668
@dawnresist,@dawnresist,28780
@PublicHealthON,@PublicHealthON,65597
@Juanmi_News,@Juanmi_News,91592
@oneindiaHindi,@oneindiaHindi,66716
@BiancaJagger,@BiancaJagger,74827
@ElSublime_,@ElSublime_,121
@keidilexer,@keidilexer,914
@NickSawyerMD,@NickSawyerMD,9025
@farid__jalali,@farid__jalali,13824
@Horus30675362,@Horus30675362,1949
@sintesisuaemex,@sintesisuaemex,7324
@richardvallee,@richardvallee,2247
@jpcalsur,@jpcalsur,1209
@Ac06854005,@Ac06854005,37
@RCDHealthUnit,@RCDHealthUnit,2232
@alvariteus,@alvariteus,10461
@Purpose,@Purpose,20134
@quailridgedrsg,@quailridgedrsg,139
@Shalini_Yoga_,@Shalini_Yoga_,94
@PetefromHayNSW,@PetefromHayNSW,2488
@ChileAtiende,@ChileAtiende,155789
@watermelonpunch,@watermelonpunch,1576
@rolandwyss,@rolandwyss,2109
@SusanneBaessler,@SusanneBaessler,4926
@MoanMoanMoan3,@MoanMoanMoan3,59
@girish_lc,@girish_lc,723
@LeQubco1,@LeQubco1,5
@flanole,@flanole,2637
@yannbubien,@yannbubien,21258
@DomFruges,@DomFruges,3359
@MedEdPORTAL,@MedEdPORTAL,9697
@Expresoec,@Expresoec,924300
@LNTribune,@LNTribune,15540
@Sardina20201,@Sardina20201,2186
@ErikSchreiber5,@ErikSchreiber5,1021
@0223comar,@0223comar,116094
@TheFemBossB,@TheFemBossB,1162
@anthonydmarek,@anthonydmarek,516
@HieWarriors,@HieWarriors,1094
@Aquilhortasud,@Aquilhortasud,74
@RosettaCeesay,@RosettaCeesay,1312
@geogodley,@geogodley,665
@TamaulipasSalud,@TamaulipasSalud,24690
@2020willbelit,@2020willbelit,809
@sleeptechno,@sleeptechno,37
@querdenkenwatch,@querdenkenwatch,16620
@mythicalapollo,@mythicalapollo,267
@ChapmanSysy,@ChapmanSysy,1144
@GobAsturias,@GobAsturias,37177
@CatalunyaLa,@CatalunyaLa,586
@AnilvanderZee,@AnilvanderZee,5090
@AberleJudith,@AberleJudith,300
@R2kdesigns,@R2kdesigns,361
@matthiasklees,@matthiasklees,19981
@j_ashwani,@j_ashwani,4874
@DalipPancholi,@DalipPancholi,3501
@fibke,@fibke,4435
@SandersChri,@SandersChri,31
@edrormba,@edrormba,12787
@AgenciaTelam,@AgenciaTelam,692621
@Dannoz4,@Dannoz4,188
@PMSchlesinger,@PMSchlesinger,966
@coop_evaluacion,@coop_evaluacion,152
@ForsanUrdu,@ForsanUrdu,3190
@BrijLal_IPS,@BrijLal_IPS,8615
@cowgirlbarb45,@cowgirlbarb45,553
@CruiseLaw,@CruiseLaw,13457
@ManiSharrma,@ManiSharrma,19204
@eo_enlinea,@eo_enlinea,41597
@Adolfoberu,@Adolfoberu,474
@cleanairforall5,@cleanairforall5,299
@InteriorsAvenue,@InteriorsAvenue,606
@Foilheadgear,@Foilheadgear,438
@RegardeLeCiel_,@RegardeLeCiel_,548
@KariJoys,@KariJoys,150538
@helpandkindness,@helpandkindness,1650
@Ggreybeard,@Ggreybeard,192
@pro_activist,@pro_activist,771
@supastardiva1,@supastardiva1,1365
@alexflybaal,@alexflybaal,322
@MutazAwad99,@MutazAwad99,287
@PepperMW,@PepperMW,63
@_Neeriiu_,@_Neeriiu_,180
@Joanet_Ve,@Joanet_Ve,579
@biogenelabzim,@biogenelabzim,9
@lincs67,@lincs67,4605
@moricemdphd,@moricemdphd,7981
@NavbharatTimes,@NavbharatTimes,1209792
@MuseumVanMezelf,@MuseumVanMezelf,62
@snorman1776,@snorman1776,5457
@atobias69,@atobias69,2391
@B4RB3BL4CH3,@B4RB3BL4CH3,23
@a_Lib_,@a_Lib_,185
@audispeak,@audispeak,3081
@ModelSvirid,@ModelSvirid,1
@JMduenas28,@JMduenas28,1384
@Cartabellotta,@Cartabellotta,69683
@raqandu,@raqandu,4447
@mz_storymakers,@mz_storymakers,15804
@RachelElise86,@RachelElise86,369
